text,label,score
"He organized a village blood donation camp by coordinating with local hospitals and mobilizing youth.",Leadership,0.95
"The student noticed the fire and immediately used the extinguisher while calling the fire brigade.",Initiative,0.90
"He stayed calm during the trek accident and provided first aid to his friend before seeking help.",Effective Intelligence,0.85
"She divided the project tasks among team members based on their strengths to meet the deadline.",Organizing Ability,0.88
"When the boat started leaking he used his shirt to plug the hole and kept rowing to the shore.",Resourcefulness,0.82
"He waited for the teacher to tell him what to do when the experiment failed.",Initiative,0.20
"He felt nervous and left the stage when the audience started whispering.",Self Confidence,0.15
"He convinced the angry villagers to allow the survey team to enter by explaining the benefits.",Power of Expression,0.80
"During the group task he listened to everyone and suggested a middle path that everyone accepted.",Cooperation,0.85
"He practiced daily for 4 hours to improve his running time and finally cleared the physical test.",Determination,0.92
"The captain blamed the weather for the team's poor performance in the final match.",Sense of Responsibility,0.10
"He used a broken branch and his muffler to create a temporary splint for the fractured leg.",Resourcefulness,0.88
"She successfully balanced her semester exams and the national level debate competition.",Stamina,0.80
"He easily made friends with the new students and helped them adjust to the hostel life.",Social Adaptability,0.85
"He gave up on the math problem after trying it once and said it was too hard.",Determination,0.25
"He took the lead in the group discussion and ensured every member got a chance to speak.",Leadership,0.90
"As a team leader, he motivated his juniors to complete the relief work despite heavy rain.",Leadership,0.94
"He stood at the back and let others take all the decisions during the group task.",Leadership,0.15
"Upon seeing a road accident, he took the victim to the hospital in his own car immediately.",Initiative,0.95
"He decided to start a library in his village and collected books from city residents.",Initiative,0.88
"He ignored the leaking tap in the hostel, thinking someone else would fix it.",Initiative,0.10
"He solved the complex technical glitch by using basic principles when advanced tools failed.",Effective Intelligence,0.90
"She accurately estimated the resources needed for the 5-day college fest without any waste.",Effective Intelligence,0.87
"He got confused and panicked when the trekking map was lost in the woods.",Effective Intelligence,0.20
"He meticulously planned the logistics for the NCC camp, including food and transport.",Organizing Ability,0.92
"She managed the guest list and catering for her sister's wedding efficiently within a budget.",Organizing Ability,0.85
"His room and desk were always cluttered and he often forgot where his keys were.",Organizing Ability,0.15
"When the car broke down in a remote area, he used a stone and wire to fix the accelerator cable.",Resourcefulness,0.90
"He used waste plastic bottles to create a vertical garden for his balcony.",Resourcefulness,0.80
"He sat by the road and cried when his bicycle chain broke during the journey.",Resourcefulness,0.10
"Despite several failures in the entrance exam, he analyzed his mistakes and cleared it on the third attempt.",Determination,0.95
"She completed the marathon despite a minor ankle sprain midway through the race.",Determination,0.88
"He quit the football team because the training sessions were too tiring for him.",Determination,0.15
"He spoke clearly and logically during the debate, convincing the judges of his point of view.",Power of Expression,0.92
"She explained the complex scientific concept using simple analogies that everyone understood.",Power of Expression,0.85
